year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
2022,2,2,4,4,7,-0.03366678772407942,1.3072544212768558,439900.0,-0.03329402597138333,1.087684230329434,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
1968,0,1,3,2,7,-0.029750033442839132,0.835197508691664,68250.0,-0.02951187376859688,-0.531525191044538,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1987,2,2,4,4,7,-0.02678283663430301,1.5346826504170898,385000.0,-0.026345230666458407,-0.6046432605641178,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
1978,0,1,4,2,7,-0.027732394107007178,-0.17389581051878625,139900.0,-0.027781963507413163,-0.7586299134695038,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9395918596190329,-0.9510197602102742
1975,0,1,3,2,7,-0.030145387214114236,0.5332339775642945,115000.0,-0.02999332776631489,-0.5511393715949565,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9395918596190329,-0.9510197602102742
1954,0,1,3,3,7,-0.02820703660842774,0.5045665537230885,140267.0,-0.02806315225990042,-0.6632569830504307,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
2008,0,1,2,2,7,-0.033429466473369134,-0.4137465899902095,173000.0,-0.03354742281228755,-0.2371298068004525,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,-0.9395918596190329,-0.9510197602102742
1969,0,1,4,2,7,-0.030106151553836072,0.20833650736396006,215000.0,-0.030046731831709757,-0.6102653840570892,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1954,0,1,3,2,7,-0.03271723025137525,-0.3841235853542967,161000.0,-0.03282674039917825,-0.45458617155816805,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
2019,2,1,4,2,7,-0.030224948414122734,0.3803410504111959,359500.0,-0.030116484080388764,-0.5717922254188355,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.6818742679360555,-0.7149182906378831
1998,0,1,3,2,7,-0.03188646963895774,0.14144585173447946,205000.0,-0.03184612187185108,-0.4408001215726866,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1957,0,1,3,2,7,-0.031649148388247464,-0.225497173432957,162000.0,-0.03171342911752812,-0.5703291720324153,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
2018,3,3,4,5,7,0.0032452495620551203,2.146254359029484,1170000.0,0.0038572205418313404,-0.8427906810880237,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6818742679360555,-0.7149182906378831
1979,2,2,3,3,7,-0.032123790889668026,-0.04680356482277309,225000.0,-0.032137119534308825,-0.45531622125316135,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6818742679360555,-0.7149182906378831
1955,0,1,2,1,7,-0.03295455150208553,-0.8867590833701081,115000.0,-0.033207380599977375,-0.6127559592850893,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.6818742679360555,-0.7149182906378831
1940,3,1,4,2,7,-0.031649148388247464,0.47972145306070996,63000.0,-0.03151234646313317,-0.3900906787414394,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1954,0,1,3,1,7,-0.03247990900066497,-0.537972093302102,135000.0,-0.03263328689698256,-0.5545462607888711,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
2007,2,1,3,2,7,-0.032242587749954685,-0.2828320211153689,150000.0,-0.03232321635402665,-0.5080500382890614,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.029396594574415735,-0.7149182906378831
