year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1971,0,1,3,2,7,-0.032103712761964824,0.059060499459136655,120000.0,0.059060499456836925,-0.4234295528663535,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1994,2,1,4,2,7,-0.031087241118686354,0.3655268716525841,283000.0,0.36552687165028436,-0.49192632614804604,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
1994,0,1,4,2,7,-0.030559646529162793,0.41787361224463254,284500.0,0.4178736122423328,-0.535165066991538,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1989,0,1,2,2,7,-0.03352889980043493,-0.19981792674153945,160000.0,-0.19981792674383916,-0.040414753192137644,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
1968,0,1,3,2,7,-0.029728310144947114,0.829033465622177,68250.0,0.8290334656198772,-0.5322476777645153,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1987,2,2,4,4,7,-0.02675905687367498,1.5257209949563495,385000.0,1.5257209949540496,-0.6053164655254193,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
1978,0,1,4,2,7,-0.027709272452222582,-0.17602395374515376,139900.0,-0.1760239537474535,-0.7591993310480468,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9374444454955034,-0.9488561038216801
1954,0,1,3,3,7,-0.028184243912145083,0.4997248793521993,140267.0,0.49972487934989956,-0.6638906822186273,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
2008,0,1,2,2,7,-0.0334102932648056,-0.4149154426288659,173000.0,-0.41491544263116564,-0.23805071673341846,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,-0.9374444454955034,-0.9488561038216801
1969,0,1,4,2,7,-0.03008467506924029,0.20467961419701697,215000.0,0.20467961419471722,-0.6109347996933299,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
