baths,type,lot_sqft,sqft,garage_2_or_more,community_security_features,farm,open_floor_plan,encoded_city,encoded_state,sold_price
3,7,-0.033785584584366,-0.1853627800552686,1,0,0,0,-0.7776386219869439,-0.7692086872904033,229995.0
4,7,-0.0232222004640596,2.9154968987685113,1,0,0,0,-0.7776386219869439,-0.7692086872904033,703125.0
3,7,-0.0322425877499546,0.629747637829688,1,0,0,1,-0.7776386219869439,-0.7692086872904033,465000.0
3,6,-0.0343790239460733,0.8781986444534732,0,0,0,1,-0.7776386219869439,-0.7692086872904033,230000.0
1,6,-0.0342602270857866,-0.2312306582011982,0,0,0,0,-0.7776386219869439,-0.7692086872904033,122500.0
2,7,-0.0314532425567196,0.3363843338546801,0,0,0,0,0.0584051608289003,0.2750895873825373,360000.0
2,7,-0.0322425877499546,0.3669629192852999,0,0,0,1,0.0209904860832416,0.2750895873825373,400000.0
0,7,-0.0348536664474938,-1.6072670025790852,0,0,0,0,0.0584051608289003,0.2750895873825373,710000.0
1,7,-0.0348536664474938,-0.3172329297248161,0,0,0,0,0.0584051608289003,0.2750895873825373,1035800.0
4,7,-0.0123029707026193,3.1859262636705545,0,0,0,0,0.0584051608289003,0.2750895873825373,1075000.0
0,3,-0.0348536664474938,-1.6072670025790852,0,0,0,0,0.0584051608289003,0.2750895873825373,534900.0
4,7,0.0425307718251555,2.226523145784861,0,0,0,0,0.0209904860832416,0.2750895873825373,1041750.0
2,3,-0.0344550430378622,-0.3239219952877642,0,0,0,0,0.0584051608289003,0.2750895873825373,430000.0
1,7,-0.0322425877499546,-0.896314891317177,0,0,0,0,0.0584051608289003,0.2750895873825373,500000.0
2,7,0.0007526952549395,-0.0468035648227731,0,0,0,0,0.0139788120140008,0.2750895873825373,475000.0
2,7,-0.0302249484141227,0.7807294033933728,0,0,0,0,0.0584051608289003,0.2750895873825373,1550000.0
2,3,-0.0344253438227905,-0.2350529813800257,0,0,0,0,0.0584051608289003,0.2750895873825373,465000.0
0,1,-0.0113534132299151,-1.6072670025790852,0,0,0,0,0.0118293634672897,0.2750895873825373,170000.0
3,7,0.0788493697495828,2.6240447563829172,0,0,0,0,0.0209904860832416,0.2750895873825373,1458250.0
2,7,-0.0330733483623721,0.380341050411196,0,0,0,0,0.0584051608289003,0.2750895873825373,850000.0
