year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,city,state,tags,total_sqft,building_ratio
2017,0,1,5,5,single_family,29621.0,5519.0,3850000.0,Nashville,Tennessee,[],35140.0,0.18632051585024137
1991,0,2,4,2,single_family,6534.0,2080.0,850000.0,Nashville,Tennessee,[],8614.0,0.31833486378940923
1965,0,1,3,2,single_family,9000.0,1612.0,433000.0,Annapolis,Maryland,"['central_air', 'disability_features', 'forced_air', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'fenced_yard', 'master_suite', 'rental_property', 'clubhouse', 'playground', 'marina', 'beach']",10612.0,0.1791111111111111
1956,0,0,0,0,land,64226.0,0.0,224825.0,Annapolis,Maryland,[],64226.0,0.0
1986,2,3,5,3,single_family,85813.0,2774.0,810000.0,Annapolis,Maryland,"['central_air', 'fireplace', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'master_suite', 'big_lot']",88587.0,0.03232610443639076
1978,0,2,4,3,single_family,15660.0,2164.0,599000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'community_swimming_pool', 'big_lot', 'ensuite', 'playground', 'volleyball', 'marina', 'groundscare']",17824.0,0.13818646232439336
1986,0,1,6,4,single_family,33105.0,4148.0,777000.0,Annapolis,Maryland,"['basement', 'central_air', 'dishwasher', 'fireplace', 'single_story', 'swimming_pool', 'washer_dryer']",37253.0,0.1252982933091678
1992,2,3,3,3,single_family,7500.0,2380.0,460000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'disability_features', 'family_room', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",9880.0,0.31733333333333336
1999,0,3,3,3,condos,0.0,1620.0,289900.0,Annapolis,Maryland,"['central_air', 'central_heat', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'library', 'community_center', 'shopping']",1620.0,0.3272722368594926
1960,0,4,4,2,single_family,8470.0,1690.0,625000.0,Annapolis,Maryland,"['central_air', 'disability_features', 'dishwasher', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'granite_kitchen', 'updated_kitchen', 'floor_plan', 'rental_property', 'new_roof', 'fixer_upper']",10160.0,0.19952774498229045
1997,2,4,5,8,single_family,266587.0,9571.0,7400000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'dishwasher', 'fireplace', 'hardwood_floors', 'view', 'washer_dryer', 'water_view', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'gourmet_kitchen', 'fenced_yard', 'coffer_ceiling', 'open_floor_plan', 'floor_plan', 'library', 'elevator', 'ensuite', 'views', 'groundscare']",276158.0,0.03590197571524493
1981,0,3,4,3,townhomes,3652.0,1649.0,380000.0,Annapolis,Maryland,"['central_air', 'dishwasher', 'fireplace', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'corner_lot', 'shopping']",5301.0,0.45153340635268346
1953,0,2,4,2,single_family,15483.0,1848.0,985000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'view', 'washer_dryer', 'water_view', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'waterfront', 'modern_kitchen', 'large_kitchen', 'rental_property', 'ensuite', 'views']",17331.0,0.1193567138151521
1983,1,3,3,2,single_family,5850.0,1272.0,555000.0,Annapolis,Maryland,"['central_air', 'fireplace', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'theater_room', 'investment_opportunity', 'park', 'shopping']",7122.0,0.21743589743589745
1961,0,2,3,2,single_family,19115.0,1713.0,452500.0,Annapolis,Maryland,"['carport', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'no_hoa', 'solar_system', 'big_lot', 'hoa', 'shopping']",20828.0,0.0896154852210306
1992,1,1,2,2,townhomes,2160.0,1234.0,410000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'disability_features', 'dishwasher', 'forced_air', 'recreation_facilities', 'senior_community', 'washer_dryer', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'vaulted_ceiling', 'floor_plan']",3394.0,0.5712962962962963
1900,0,4,4,3,single_family,39204.0,3800.0,555000.0,Annapolis,Maryland,"['central_air', 'fireplace', 'basement', 'two_or_more_stories', 'big_yard', 'open_house', 'maintenance']",43004.0,0.09692888480767269
2013,2,3,3,4,townhomes,2312.0,2980.0,580000.0,Annapolis,Maryland,"['central_air', 'central_heat', 'dishwasher', 'family_room', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'high_ceiling', 'open_floor_plan', 'floor_plan', 'corner_lot', 'playground', 'trails']",5292.0,1.2889273356401385
1977,0,2,3,3,townhomes,1206.0,1518.0,370000.0,Annapolis,Maryland,"['central_air', 'dishwasher', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'master_suite', 'ensuite', 'new_roof', 'clubhouse', 'playground']",2724.0,1.2587064676616915
1965,1,2,4,2,single_family,11165.0,1100.0,450000.0,Annapolis,Maryland,"['central_air', 'fireplace', 'recreation_facilities', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'efficient', 'new_roof', 'shopping']",12265.0,0.09852216748768473
1996,0,2,2,2,condos,0.0,1577.0,372500.0,Annapolis,Maryland,"['central_air', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'granite_kitchen', 'basketball_court', 'clubhouse', 'basketball']",1577.0,0.3272722368594926
1969,0,2,5,3,single_family,9350.0,2400.0,700000.0,Annapolis,Maryland,"['central_air', 'central_heat', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'two_or_more_stories', 'fenced_yard', 'river_access', 'hoa']",11750.0,0.25668449197860965
1983,0,3,1,2,townhomes,1216.0,1086.0,314000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'dishwasher', 'fireplace', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'modern_kitchen', 'high_ceiling', 'vaulted_ceiling', 'tennis_court', 'ensuite', 'community_center', 'tennis', 'trails', 'views']",2302.0,0.8930921052631579
1997,0,3,3,4,condos,0.0,2106.0,459900.0,Annapolis,Maryland,"['central_air', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'washer_dryer', 'basement', 'two_or_more_stories', 'updated_kitchen', 'gourmet_kitchen', 'shopping']",2106.0,0.3272722368594926
1977,0,3,3,3,townhomes,1024.0,1746.0,365000.0,Annapolis,Maryland,"['central_air', 'fireplace', 'recreation_facilities', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'fenced_yard', 'tennis_court', 'clubhouse', 'tennis', 'shopping']",2770.0,1.705078125
1976,2,3,3,3,single_family,33316.0,2596.0,565000.0,Annapolis,Maryland,"['central_air', 'disability_features', 'fireplace', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'library', 'views', 'beach', 'shopping']",35912.0,0.07792051866970824
1975,2,2,4,4,single_family,61196.0,4415.0,850000.0,Annapolis,Maryland,"['central_air', 'dining_room', 'dishwasher', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'wooded_land', 'tennis_court', 'big_lot', 'ensuite', 'clubhouse', 'tennis', 'marina']",65611.0,0.07214523825086606
