year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1989,0,1,2,2,7,4792.0,1475.0,160000.0,6267.0,0.30780467445742904,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178011.03,178011.03
2022,2,2,4,4,7,4356.0,3050.0,439900.0,7406.0,0.7001836547291093,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178011.03,178011.03
1968,0,1,3,2,7,18731.0,2556.0,68250.0,21287.0,0.13645827772142438,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1987,2,2,4,4,7,29621.0,3288.0,385000.0,32909.0,0.11100232942844604,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,178011.03,178011.03
1978,0,1,4,2,7,26136.0,1500.0,139900.0,27636.0,0.0573921028466483,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,178011.03,178011.03
1975,0,1,3,2,7,17280.0,2240.0,115000.0,19520.0,0.12962962962962962,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,178011.03,178011.03
1954,0,1,3,3,7,24394.0,2210.0,140267.0,26604.0,0.09059604820857588,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
2008,0,1,2,2,7,5227.0,1249.0,173000.0,6476.0,0.23895159747465086,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,178011.03,178011.03
1969,0,1,4,2,7,17424.0,1900.0,215000.0,19324.0,0.10904499540863177,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1954,0,1,3,2,7,7841.0,1280.0,161000.0,9121.0,0.16324448412192322,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
