property_id,status,year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,sold_date,last_update_date,city,state,postal_code,tags,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan
9608598188,sold,1904,0,0,3,0,multi_family,-0.034246053190322874,0.3031640445667518,-0.1726676214669583,2024-01-08,2024-01-08 00:00:00,Harrisburg,Pennsylvania,17102,"['forced_air', 'basement', 'updated_kitchen']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4361286518,sold,1953,1,2,3,1,townhomes,-0.034366038192598244,-0.3663733850794432,-0.36650856408137195,2024-01-08,2024-01-09 00:00:00,Harrisburg,Pennsylvania,17104,"['central_air', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'shopping']",1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601742123,sold,1958,0,1,3,2,single_family,-0.03292759414009048,0.24163106416163102,-0.21606484742540913,2024-01-05,2024-01-07 00:00:00,Harrisburg,Pennsylvania,17109,"['central_air', 'forced_air', 'basement', 'single_story', 'modern_kitchen', 'white_kitchen', 'new_roof']",0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4951875249,sold,1920,0,3,4,2,single_family,-0.0300504308401156,0.44088071499726017,-0.13737121102075164,2024-01-05,2024-01-05 00:00:00,Harrisburg,Pennsylvania,17109,"['carport', 'central_air', 'dishwasher', 'fireplace', 'forced_air', 'view', 'water_view', 'basement', 'two_or_more_stories', 'updated_kitchen', 'master_bathroom', 'master_bedroom', 'first_floor_master_bedroom', 'new_roof', 'views', 'shopping']",0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4261378972,sold,1999,2,1,2,2,condos,-0.03352696876154866,-0.06676637334498617,-0.2253229222965453,2024-01-05,2024-01-05 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'disability_features', 'fireplace', 'forced_air', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'maintenance']",1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9059632678,sold,1927,0,0,4,0,multi_family,-0.03376666357114007,1.0364320610611075,-0.22995195973211338,2024-01-04,2024-01-05 00:00:00,Harrisburg,Pennsylvania,17103,"['basement', 'rental_property', 'investment_opportunity']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4509473637,sold,1913,0,0,4,0,multi_family,-0.03400635838073147,-0.20521557925650788,-0.2588834437044139,2024-01-04,2024-01-06 00:00:00,Harrisburg,Pennsylvania,17104,['forced_air'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4556129434,sold,1900,1,0,3,0,multi_family,-0.034126343383006845,0.44088071499726017,-0.45561753471605765,2024-01-04,2024-01-06 00:00:00,Harrisburg,Pennsylvania,17103,"['central_air', 'forced_air', 'garage_1_or_more']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3171654395,sold,2009,2,2,3,3,single_family,-0.030889500271165184,0.17570287087043018,0.0048559641870778575,2024-01-04,2024-01-05 00:00:00,Harrisburg,Pennsylvania,17112,"['central_air', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'cathedral_ceiling', 'mountain_view', 'trails', 'views', 'shopping']",1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4402669447,sold,1913,0,0,4,0,multi_family,-0.03400635838073147,-0.28725955313000223,-0.2588834437044139,2024-01-04,2024-01-06 00:00:00,Harrisburg,Pennsylvania,17104,['forced_air'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3922485640,sold,1900,0,0,4,0,multi_family,-0.034246053190322874,0.18888850952867034,-0.22995195973211338,2024-01-04,2024-01-06 00:00:00,Harrisburg,Pennsylvania,17110,"['fireplace', 'forced_air']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4173013199,sold,1951,0,1,2,1,single_family,-0.03172884489717412,-0.30996815304141584,-0.22995195973211338,2024-01-03,2024-01-04 00:00:00,Harrisburg,Pennsylvania,17112,"['central_air', 'fireplace', 'basement', 'single_story', 'farm', 'ranch']",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3394787299,sold,1955,0,1,3,2,single_family,-0.031129470275715936,0.3610343475668058,-0.1628309169163761,2024-01-03,2024-01-10 00:00:00,Harrisburg,Pennsylvania,17109,"['carport', 'central_air', 'disability_features', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'single_story', 'garage_1_or_more', 'big_yard', 'exposed_brick', 'farm', 'ranch']",1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
4621861360,sold,1948,0,1,3,2,single_family,-0.0313438471490474,-0.06237116045890611,-0.18146279259453765,2024-01-03,2024-01-03 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'central_heat', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'washer_dryer', 'single_story', 'open_floor_plan', 'floor_plan', 'corner_lot', 'farm', 'ranch', 'new_roof']",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
9063808434,sold,2023,2,2,3,3,single_family,-0.03041011065198238,-0.14954288269949387,0.08586411930951938,2024-01-02,2024-01-03 00:00:00,Harrisburg,Pennsylvania,17112,"['central_air', 'disability_features', 'dishwasher', 'fireplace', 'forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'high_ceiling', 'vaulted_ceiling', 'medicalcare']",1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4198618753,sold,1987,2,3,2,3,single_family,-0.03376666357114007,-0.18030937290205423,-0.18944788217089262,2023-12-29,2024-01-02 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'dishwasher', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'master_bedroom', 'ensuite', 'new_roof']",1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
4853549319,sold,1988,2,2,3,3,single_family,-0.03352696876154866,-0.17151894712989413,-0.22417144923444773,2023-12-29,2023-12-29 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'disability_features', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'efficient', 'new_roof']",1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3985214371,sold,1989,2,4,4,4,single_family,-0.022857935382617423,2.2055586887584018,0.32336267123813456,2023-12-29,2023-12-29 00:00:00,Harrisburg,Pennsylvania,17112,"['central_air', 'dining_room', 'disability_features', 'fireplace', 'forced_air', 'hardwood_floors', 'spa_or_hot_tub', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'high_ceiling', 'vaulted_ceiling', 'cathedral_ceiling', 'big_lot', 'ensuite', 'new_roof']",1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
4460846595,sold,1995,2,2,3,3,single_family,-0.03196853970676552,0.453333818174487,0.04779028640197187,2023-12-29,2023-12-29 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'cathedral_ceiling', 'open_floor_plan', 'floor_plan']",1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3323159008,sold,1900,0,3,3,3,townhomes,-0.034126343383006845,0.643793043237956,-0.22416566293765328,2023-12-29,2024-01-02 00:00:00,Harrisburg,Pennsylvania,17104,"['central_air', 'forced_air', 'view', 'water_view', 'basement', 'two_or_more_stories', 'waterfront', 'open_floor_plan', 'floor_plan', 'river_view', 'baseball']",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3382602070,sold,1923,0,2,3,1,townhomes,-0.03400635838073147,-0.20668065021853457,-0.3485710440185456,2023-12-29,2023-12-30 00:00:00,Harrisburg,Pennsylvania,17104,"['disability_features', 'dishwasher', 'washer_dryer', 'basement', 'two_or_more_stories', 'fenced_yard', 'front_porch', 'rental_property', 'efficient']",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8164375970,sold,1967,0,2,4,2,single_family,-0.03117129990953671,0.22844542550339084,-0.07372194628169043,2023-12-11,2023-12-13 00:00:00,Nashville,Tennessee,37217,"['central_air', 'central_heat', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'master_bedroom', 'ensuite', 'lake']",1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8146083955,sold,2003,0,1,3,2,single_family,-0.03196853970676552,0.2518865608958178,-0.027431571926009552,2023-09-26,2023-09-29 00:00:00,Antioch,Tennessee,37013,"['central_air', 'central_heat', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'river_view', 'view', 'washer_dryer', 'water_view', 'single_story', 'garage_1_or_more', 'vaulted_ceiling', 'open_floor_plan', 'floor_plan']",1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
