property_id,year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,sold_date,last_update_date,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
6317376234,1980,0,2,5,3,7,-0.029810736030524195,-1.2615317428777477,565000.0,2024-01-08,2024-01-11 00:00:00,-1.261531742877748,-0.9241403585439016,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5061755382210638,0.5907686577786193
5929860536,2010,2,1,3,3,4,-0.03413817676625878,-0.01622142515506553,705000.0,2024-01-08,2024-01-11 00:00:00,-0.016221425155065528,1.9027068884122693,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0.5061755382210638,0.5907686577786193
6855882216,2003,0,2,3,3,6,-0.03400635838073147,-0.2623533467755486,240000.0,2024-01-08,2024-01-11 00:00:00,-0.26235334677554867,0.8451670407423083,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5061755382210638,0.5907686577786193
6370608447,1920,0,1,2,1,7,-0.03340698375927329,-0.4659982104972578,420000.0,2024-01-08,2024-01-10 00:00:00,-0.46599821049725787,-0.21978997891603358,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5061755382210638,0.5907686577786193
6037041636,2009,0,3,3,3,4,-0.033910590534878646,0.6240145852505957,1400000.0,2024-01-08,2024-01-10 00:00:00,0.6240145852505959,1.954729251259356,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.5061755382210638,0.5907686577786193
5989015160,2008,2,1,2,2,4,-0.032148242015219236,-0.26308588225656193,390000.0,2024-01-08,2024-01-10 00:00:00,-0.263085882256562,-0.49292800342075144,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.5061755382210638,0.5907686577786193
6244225051,1987,0,1,3,3,4,-0.03372345796252256,1.0869770092510282,1180000.0,2024-01-08,2024-01-09 00:00:00,1.0869770092510282,1.9010440370905306,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5061755382210638,0.5907686577786193
5375551467,2016,0,2,3,3,7,-0.03460573300218965,-0.020616638041145587,340000.0,2024-01-08,2024-01-11 00:00:00,-0.020616638041145583,-6.283711268626737e-17,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.5061755382210638,0.5907686577786193
6573506797,2003,1,2,3,3,6,-0.034246053190322874,-0.08947497325639978,250000.0,2024-01-08,2024-01-11 00:00:00,-0.08947497325639978,2.534386828154714,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.5061755382210638,0.5907686577786193
5240026761,1950,0,1,3,1,7,-0.03192065578383911,-0.5758785326492591,89500.0,2024-01-08,2024-01-10 00:00:00,-0.5758785326492593,-0.6531172372654526,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5061755382210638,0.5907686577786193
